,收盘,开盘,高,低,交易量
2000/12/1,2081.84,2073.09,2082.03,2071.49,0.60798
2000/12/4,2092.14,2084.48,2092.32,2077.81,0.70728
2000/12/5,2091.67,2094.99,2097.29,2085.8,0.62676
2000/12/6,2075.63,2093,2095.44,2070.35,0.73672
2000/12/7,2075.04,2072.53,2078.14,2060.73,0.70424
2000/12/8,2073.16,2074.57,2083.27,2069.66,0.71188
2000/12/11,2046.08,2072.28,2072.48,2039,0.6509
2000/12/12,2059.05,2045.17,2059.05,2037.9,0.87184
2000/12/13,2056.12,2057.38,2059.6,2050.18,0.65394
2000/12/14,2051.08,2057,2059.27,2046.94,0.54153
2000/12/15,2039.36,2052.79,2055.61,2036.88,0.5487
2000/12/18,2044.55,2038.45,2044.56,2024.29,0.72905
2000/12/19,2049.03,2047.35,2056.76,2046.03,0.74449
2000/12/20,2071.27,2050.07,2071.31,2048.64,0.82989
2000/12/21,2076.89,2075.56,2086.94,2074.34,0.92805
2000/12/22,2069.77,2078.43,2079.97,2066.22,0.83283
2000/12/25,2068.17,2071.57,2075.21,2062.04,0.86295
2000/12/26,2076.27,2070.38,2076.41,2068.81,0.77461
2000/12/27,2058.24,2077.72,2079.76,2056,0.87431
2000/12/28,2053.7,2054.52,2061.05,2047.74,0.77982
2000/12/29,2073.48,2055.83,2073.88,2055.51,0.84929
2001/1/2,2103.47,2077.08,2103.54,2074.88,0.9339
2001/1/3,2123.9,2108.25,2123.9,2105.5,1.19
2001/1/4,2117.41,2125.49,2127.42,2113.18,1.03
2001/1/5,2125.3,2117.66,2125.38,2114.06,1.02
2001/1/8,2102.06,2128.6,2131.98,2092.1,1.16
2001/1/9,2101.14,2099.32,2111.1,2082.84,0.87788
2001/1/10,2125.61,2102.09,2125.67,2102.07,0.95191
2001/1/11,2119.14,2129.61,2131.37,2117.03,1.03
2001/1/12,2104.75,2116.85,2117.73,2100.27,0.79774
2001/1/15,2032.44,2097.09,2097.09,2030.29,0.9507
2001/1/16,2045.89,2018.3,2045.95,2007.71,0.84311
2001/1/17,2034.58,2046.38,2048.7,2031.76,0.51242
2001/1/18,2043.11,2033.69,2049.36,2033.58,0.60868
2001/1/19,2065.61,2046.58,2067.88,2046.54,0.64193
