日期,收盘,开盘,高,低,交易量
2022/1/4,3632.33,3649.15,3651.89,3610.09,405027769
2022/1/5,3595.18,3628.26,3628.26,3583.47,423902028
2022/1/6,3586.08,3581.22,3594.49,3559.88,371540543
2022/1/7,3579.54,3588.99,3607.23,3577.1,436306961
2022/1/10,3593.52,3572.74,3593.52,3555.13,356222610
2022/1/11,3567.44,3589.9,3602.15,3562.75,359761863
2022/1/12,3597.43,3578.16,3599.5,3572.1,343132956
2022/1/13,3555.26,3601.03,3601.07,3555.16,369368365
2022/1/14,3521.26,3544.07,3548.42,3519.32,376937024
2022/1/17,3541.67,3522.09,3546.09,3519.43,312886733
2022/1/18,3569.91,3541.89,3579.31,3531.33,377146435
2022/1/19,3558.18,3567.63,3578.73,3541.66,333235269
2022/1/20,3555.06,3556.23,3576.26,3540.55,379509846
2022/1/21,3522.57,3546.75,3547,3514.89,326534880
2022/1/24,3524.11,3508.24,3531.61,3500.14,280268342
2022/1/25,3433.06,3509.28,3519.83,3433.06,327353813
2022/1/26,3455.67,3442.69,3462.12,3417.76,275122828
2022/1/27,3394.25,3456.1,3456.36,3392.02,280606534
2022/1/28,3361.44,3407.59,3417.05,3356.56,290855257
2022/2/7,3429.58,3407.76,3434.03,3407.76,320485211
2022/2/8,3452.63,3428.54,3453.19,3390.46,366093865
2022/2/9,3479.95,3450.82,3484.74,3444.08,350249936
2022/2/10,3485.91,3481.91,3488.86,3464.22,355666267
2022/2/11,3462.95,3472.28,3500.15,3459.33,361356090
2022/2/14,3428.88,3451.85,3457.26,3415.45,315274448
2022/2/15,3446.09,3428.04,3447.49,3421.64,275559322
2022/2/16,3465.83,3457.07,3475.06,3453.8,274993913
2022/2/17,3468.04,3464.21,3480.97,3454.28,297262682
2022/2/18,3490.76,3451.63,3490.76,3447.03,295149963
2022/2/21,3490.61,3488.41,3492.2,3471.69,301541740
2022/2/22,3457.15,3473.29,3473.39,3437.67,326279484
2022/2/23,3489.15,3458.51,3490.76,3458.18,325604895
2022/2/24,3429.96,3474.37,3486.98,3400.21,488354901
2022/2/25,3451.41,3445.34,3480.18,3440.93,377542556
2022/2/28,3462.31,3450.32,3462.31,3425.52,345838388
2022/3/1,3488.83,3471.36,3491.13,3465.72,326001662
2022/3/2,3484.19,3478.29,3486.62,3467,329367684
2022/3/3,3481.11,3495.93,3500.29,3473.34,412594289
2022/3/4,3447.65,3459.98,3474.88,3437.7,393526581
2022/3/7,3372.86,3438.56,3438.56,3360.74,393588999
2022/3/8,3293.53,3372.55,3383.63,3287.34,415926766
2022/3/9,3256.39,3303.71,3321.48,3147.68,466285569
2022/3/10,3296.09,3312.18,3326.58,3291.24,378336376
2022/3/11,3309.75,3259.32,3315.66,3217.42,384067127
2022/3/14,3223.53,3271.89,3297.8,3223.53,337968687
2022/3/15,3063.97,3192.36,3196.92,3063.97,465037164
2022/3/16,3170.71,3107.67,3177.79,3023.3,444667189
2022/3/17,3215.04,3215.01,3260.17,3202.93,420813458
2022/3/18,3251.07,3207.15,3260.78,3197.36,373035611
2022/3/21,3253.69,3255.62,3267.5,3223.39,354228488
2022/3/22,3259.86,3249.54,3279.11,3239.53,361196158
2022/3/23,3271.03,3264.79,3279.89,3251.98,349875370
2022/3/24,3250.26,3256.06,3266.89,3236.66,329006654
2022/3/25,3212.24,3247.16,3257.11,3211.64,340020006
2022/3/28,3214.5,3185.17,3230.22,3159.83,344994873
2022/3/29,3203.94,3216.01,3229.18,3196.46,316273649
2022/3/30,3266.6,3217.59,3266.6,3216.3,366753677
2022/3/31,3252.2,3256.14,3272.04,3246.06,398439934
2022/4/1,3282.72,3234.67,3287.23,3226.3,378210460
2022/4/6,3283.43,3269.43,3288.11,3255.69,429642779
2022/4/7,3236.7,3267.81,3290.26,3236.48,402626660
2022/4/8,3251.85,3239.88,3257.09,3208.35,413826799
2022/4/11,3167.13,3239.86,3239.86,3156.51,424160185
2022/4/12,3213.33,3165.12,3214.54,3140.9,418321923
2022/4/13,3186.82,3199.8,3225.47,3183.53,391156925
2022/4/14,3225.64,3203.63,3240,3200.23,371242344
2022/4/15,3211.24,3210.7,3229.87,3200.13,407842082
2022/4/18,3195.52,3185.94,3204.03,3166.98,347365123
2022/4/19,3194.03,3192.09,3207.83,3174.71,339944104
2022/4/20,3151.05,3189.89,3191.83,3142.05,362047037
2022/4/21,3079.81,3138.43,3160.9,3069.68,391934694
2022/4/22,3086.92,3058.4,3105.66,3049.36,342000563
2022/4/25,2928.51,3034.27,3043.82,2928.51,433606108
2022/4/26,2886.43,2930.45,2957.68,2878.26,401615154
2022/4/27,2958.28,2866.82,2959.18,2863.65,423060191
2022/4/28,2975.48,2945.81,2991.51,2936.79,375371775
2022/4/29,3047.06,2986.06,3048.49,2968.33,423932794
2022/5/5,3067.76,3044.85,3082.23,3042.12,383072875
2022/5/6,3001.56,3011.32,3030.69,2992.72,343264218
2022/5/9,3004.14,2990.2,3015.94,2983.61,292061556
2022/5/10,3035.84,2965.78,3043.78,2957.4,370660980
2022/5/11,3058.7,3035.39,3100.9,3034.67,423991912
2022/5/12,3054.99,3044.8,3072.16,3032.95,344440477
2022/5/13,3084.28,3068.03,3086.1,3059.25,331737852
2022/5/16,3073.75,3100.55,3102.58,3063.4,338108492
2022/5/17,3093.7,3076.5,3093.7,3057.64,330356537
2022/5/18,3085.98,3095.89,3105.84,3071.31,315037923
2022/5/19,3096.96,3046.71,3096.96,3042.67,336600749
2022/5/20,3146.57,3107.09,3146.57,3107.09,372336636
2022/5/23,3146.86,3150.49,3150.51,3127.9,353376325
2022/5/24,3070.93,3149.06,3153.13,3070.93,416312158
2022/5/25,3107.46,3070.17,3107.63,3069.95,342259227
2022/5/26,3123.11,3111.48,3133.28,3079.48,370305518
2022/5/27,3130.24,3135.03,3151.05,3112.54,359463866
2022/5/30,3149.06,3141.96,3150.89,3123.15,349362285
2022/5/31,3186.43,3149.94,3188.6,3142,374523265
2022/6/1,3182.16,3179.69,3190.61,3160.04,365664432
2022/6/2,3195.46,3170.31,3197.28,3163.76,361770632
2022/6/6,3236.37,3196.96,3237.07,3181.65,422027835
2022/6/7,3241.76,3235.42,3253.09,3222.64,402203220
2022/6/8,3263.79,3245.02,3266.63,3216.01,434183270
2022/6/9,3238.95,3259.49,3270.56,3223.48,422728372
2022/6/10,3284.83,3214.18,3286.62,3210.81,439865730
2022/6/13,3255.55,3256.28,3272.99,3229.31,438578312
2022/6/14,3288.91,3224.21,3289.13,3195.82,450388187
2022/6/15,3305.41,3289.1,3358.55,3288.85,550584131
2022/6/16,3285.38,3306.84,3319.69,3277.53,433220868
2022/6/17,3316.79,3265.51,3323.28,3262.89,395300700
2022/6/20,3315.43,3315.78,3333.9,3292.93,413460410
2022/6/21,3306.72,3313.79,3329.39,3279.83,394456891
2022/6/22,3267.2,3309.12,3311.02,3266.54,375529782
2022/6/23,3320.15,3269.05,3320.15,3262.29,400614211
2022/6/24,3349.75,3324.74,3356.71,3322.95,390819734
2022/6/27,3379.19,3364,3393.31,3364,414117738
2022/6/28,3409.21,3377.68,3412.1,3358.87,412056516
2022/6/29,3361.52,3399.68,3414.65,3358.47,440573559
2022/6/30,3398.62,3358.93,3417.01,3358.93,381243178
2022/7/1,3387.64,3400.26,3404.05,3378.36,350489299
2022/7/4,3405.43,3381.82,3405.62,3364.09,357737919
2022/7/5,3404.03,3411.13,3424.84,3372.06,411699672
2022/7/6,3355.35,3391.03,3391.03,3333.1,384630047
2022/7/7,3364.4,3353.13,3375.86,3332.31,334400202
2022/7/8,3356.08,3380.37,3386.31,3354.12,322921072
2022/7/11,3313.58,3341.1,3341.1,3297.01,342669193
2022/7/12,3281.47,3307.22,3319.25,3277.08,334600539
2022/7/13,3284.29,3279.6,3297.02,3266.48,331845669
2022/7/14,3281.74,3277.45,3299.25,3261.49,355926432
2022/7/15,3228.06,3261.38,3288.92,3228.06,380156371
2022/7/18,3278.1,3235.09,3278.47,3226.23,348346022
2022/7/19,3279.43,3278.72,3283.93,3256.02,315651918
2022/7/20,3304.72,3291.55,3308.35,3287.74,301515123
2022/7/21,3272,3297.66,3300.53,3272,332358707
2022/7/22,3269.97,3276.2,3293.64,3246.73,300690066
2022/7/25,3250.39,3269.71,3273.18,3243.03,271245744
2022/7/26,3277.44,3254.19,3282.41,3246.04,259468676
2022/7/27,3275.76,3271.78,3282.57,3265.73,249131485
2022/7/28,3282.58,3287.5,3305.71,3277.11,288055056
2022/7/29,3253.24,3282.81,3294.8,3246.37,307331047
2022/8/1,3259.96,3246.62,3264.3,3225.55,292204805
2022/8/2,3186.27,3231.26,3231.26,3155.19,394176168
2022/8/3,3163.67,3188.89,3217.55,3159.46,324885673
2022/8/4,3189.04,3179.43,3191,3155.7,260898943
2022/8/5,3227.03,3195.23,3228.89,3184.45,274683729
2022/8/8,3236.93,3218.85,3237.97,3214.08,254268050
2022/8/9,3247.43,3235.74,3248.77,3227.54,259605467
2022/8/10,3230.02,3242.36,3253.17,3217.81,257583592
2022/8/11,3281.67,3243.47,3281.67,3237.9,300605376
2022/8/12,3276.89,3275.77,3288.22,3272.84,299932928
2022/8/15,3276.09,3268.37,3286.89,3261.82,287106773
2022/8/16,3277.88,3278.68,3295.02,3271.57,303592274
2022/8/17,3292.53,3282.1,3296,3263.35,326124759
2022/8/18,3277.54,3286.37,3289.14,3270.56,301694778
2022/8/19,3258.08,3275.62,3286.49,3258.06,333535471
2022/8/22,3277.79,3249.7,3278.17,3247.19,314537869
2022/8/23,3276.22,3274.43,3284.6,3262.63,316566356
2022/8/24,3215.2,3279.17,3281.88,3212.39,366140577
2022/8/25,3246.25,3223.46,3248.35,3199.12,336196165
2022/8/26,3236.22,3250.63,3266.27,3232.28,309927554
2022/8/29,3240.73,3203.1,3240.73,3199,297015097
2022/8/30,3227.22,3240.18,3243.75,3212.63,294318914
2022/8/31,3202.14,3216.53,3232.02,3184.39,344408829
2022/9/1,3184.98,3196.54,3214.56,3181.63,274660541
2022/9/2,3186.48,3189.64,3198.28,3173.79,250456911
2022/9/5,3199.91,3183.95,3199.91,3172.04,280675633
2022/9/6,3243.45,3207.93,3244.64,3203.82,318869689
2022/9/7,3246.29,3232.14,3253.77,3227.82,301014466
2022/9/8,3235.59,3245.56,3253.7,3233.8,281680358
2022/9/9,3262.05,3241.18,3266.2,3236.51,283827665
2022/9/13,3263.8,3272.05,3278.17,3259.66,276189823
2022/9/14,3237.54,3224.68,3250.8,3221.96,255193365
2022/9/15,3199.92,3248.97,3254.18,3174.39,325206121
2022/9/16,3126.4,3189.83,3191.83,3126.4,316475893
2022/9/19,3115.6,3122.75,3135.56,3101.22,249113662
2022/9/20,3122.41,3127.84,3140.03,3114.04,219942534
2022/9/21,3117.18,3116.01,3129.82,3091.3,232972496
2022/9/22,3108.91,3098.77,3125.68,3092.82,221140689
2022/9/23,3088.37,3106.81,3124.66,3072.24,243057719
2022/9/26,3051.23,3067.57,3102.65,3048.51,262698628
2022/9/27,3093.86,3056.39,3094.04,3048.37,232735303
2022/9/28,3045.07,3089.1,3089.1,3044.86,230098650
2022/9/29,3041.2,3067.47,3076.76,3026.08,230030416
2022/9/30,3024.39,3042.17,3054.61,3021.93,204115336
2022/10/10,2974.15,3026.94,3029.45,2968.28,243404828
2022/10/11,2979.79,2978.06,2986.91,2953.5,208635950
2022/10/12,3025.51,2976.72,3025.51,2934.09,248013557
